103025,CCNT-MACO-tall,Coconut Macchiato,espresso-drinks,tall,"{coconut-milk,espresso-shot,chocolate-syrup}","{10.00000000000000000,1.00000000000000000,1.00000000000000000}",4.65
103026,CCNT-MACO-grande,Coconut Macchiato,espresso-drinks,grande,"{coconut-milk,espresso-shot,chocolate-syrup}","{12.00000000000000000,2.00000000000000000,2.00000000000000000}",5.45
103027,CCNT-MACO-venti,Coconut Macchiato,espresso-drinks,venti,"{coconut-milk,espresso-shot,chocolate-syrup}","{18.00000000000000000,3.00000000000000000,3.00000000000000000}",5.65
103028,CIN-ALMD-MACO-tall,Cinnamon Dolce Almond Milk Macchiato,espresso-drinks,tall,"{cinnamon-dolce-syrup,espresso-shot,almond-milk}","{1.00000000000000000,1.00000000000000000,10.00000000000000000}",4.85
103029,CIN-ALMD-MACO-grande,Cinnamon Dolce Almond Milk Macchiato,espresso-drinks,grande,"{cinnamon-dolce-syrup,espresso-shot,almond-milk}","{2.00000000000000000,2.00000000000000000,12.00000000000000000}",5.65
103030,CIN-ALMD-MACO-venti,Cinnamon Dolce Almond Milk Macchiato,espresso-drinks,venti,"{cinnamon-dolce-syrup,espresso-shot,almond-milk}","{3.00000000000000000,3.00000000000000000,18.00000000000000000}",5.85
103031,espresso-shot-solo,Solo,espresso-drinks,NA,{espresso-shot},{1.00000000000000000},2.45
103032,espresso-shot-dopio,Doppio,espresso-drinks,NA,{espresso-shot},{2.00000000000000000},2.75
103033,espresso-shot-triple,Triple,espresso-drinks,NA,{espresso-shot},{3.00000000000000000},3.25
103034,espresso-shot-quad,Quad,espresso-drinks,NA,{espresso-shot},{4.00000000000000000},3.65
103035,CCNT-MOCH-tall,Coconut Mocha,espresso-drinks,tall,"{espresso-shot,coconut-milk,mocha-sauce}","{1.00000000000000000,10.00000000000000000,1.00000000000000000}",4.65
103036,CCNT-MOCH-grande,Coconut Mocha,espresso-drinks,grande,"{espresso-shot,coconut-milk,mocha-sauce}","{2.00000000000000000,12.00000000000000000,2.00000000000000000}",5.45
103037,CCNT-MOCH-venti,Coconut Mocha,espresso-drinks,venti,"{espresso-shot,coconut-milk,mocha-sauce}","{3.00000000000000000,18.00000000000000000,3.00000000000000000}",5.65
103038,BW-MOCH-tall,Black and White Mocha,espresso-drinks,tall,"{espresso-shot,mocha-sauce,white-chocolate,2p-milk,whipped-cream}","{1.00000000000000000,1.00000000000000000,1.00000000000000000,8.00000000000000000,1.00000000000000000}",4.45
103039,BW-MOCH-grande,Black and White Mocha,espresso-drinks,grande,"{espresso-shot,mocha-sauce,white-chocolate,2p-milk,whipped-cream}","{2.00000000000000000,2.00000000000000000,2.00000000000000000,8.00000000000000000,2.00000000000000000}",5.25
103040,BW-MOCH-venti,Black and White Mocha,espresso-drinks,venti,"{espresso-shot,mocha-sauce,white-chocolate,2p-milk,whipped-cream}","{3.00000000000000000,3.00000000000000000,3.00000000000000000,8.00000000000000000,3.00000000000000000}",5.45
201001,bagel-everything,Everything Bagel,bakery-coremark,NA,{bagel-everything},{1.00000000000000000},2.25
201002,bagel-muligrain,Multi-Grain Bagel,bakery-coremark,NA,{bagel-muligrain},{1.00000000000000000},2.25
201003,bagel-plain,Plain Bagel,bakery-coremark,NA,{bagel-plain},{1.00000000000000000},2.25
201004,cream-cheese,Cream Cheese,bakery-coremark,NA,{cream-cheese},{2.00000000000000000},0.95
201005,donut-glazed,Glazed Donut,bakery-coremark,NA,{donut-glazed},{1.00000000000000000},2.25
201006,cheese-dani,Cheese Danish,bakery-coremark,NA,{cheese-dani},{1.00000000000000000},3.45
201007,apple-fritter,Apple Fritter,bakery-coremark,NA,{apple-fritter},{1.00000000000000000},3.45
201008,saltCr-cookie,Salted Caramel Cookie,bakery-coremark,NA,{saltCr-cookie},{1.00000000000000000},2.95
201009,cinn-roll,Cinnamon Roll,bakery-coremark,NA,{cinn-roll},{1.00000000000000000},3.75
201010,blub-muffin,Blueberry Muffin,bakery-coremark,NA,{blub-muffin},{1.00000000000000000},3.25
201011,tuxedo-muffin,Tuxedo Muffin,bakery-coremark,NA,{tuxedo-muffin},{1.00000000000000000},3.25
201012,banana-muffin,Banana Muffin,bakery-coremark,NA,{banana-muffin},{1.00000000000000000},3.25
201013,banana-bread,Banana Nut Loaf,bakery-coremark,NA,{banana-bread},{1.00000000000000000},3.65
201014,croissant-sweet,Sweet Croissant,bakery-coremark,NA,{croissant-sweet},{1.00000000000000000},3.45
201015,CC-cookie-sweet,Sweet Chocolate Chip Cookie,bakery-coremark,NA,{CC-cookie-sweet},{1.00000000000000000},2.95
201016,CC-cookie-baked,Baked Chocolate Chip Cookie,bakery-coremark,NA,{CC-cookie-baked},{1.00000000000000000},2.95
201017,toffee-bar,Toffee Bar,bakery-coremark,NA,{toffee-bar},{1.00000000000000000},3.25
201018,CC-cookie-wrapped,Chocolate Chip Cookie,bakery-coremark,NA,{CC-cookie-wrapped},{1.00000000000000000},2.95
201019,brownie-wrapped,Brownie Bar,bakery-coremark,NA,{brownie-wrapped},{1.00000000000000000},3.25
201020,zoes-cookie-wrapped,Zeo's Cookie,bakery-coremark,NA,{zoes-cookie-wrapped},{1.00000000000000000},2.95
201021,cheesecake,Cheesecake,bakery-coremark,NA,{cheesecake},{1.00000000000000000},3.25
201022,reeses-pie,Reese's Pie,bakery-coremark,NA,{reeses-pie},{1.00000000000000000},3.25
104001,hot-tea-tall,Hot Tea,tea-hot-iced,tall,{black-tea},{12.00000000000000000},2.95
104002,hot-tea-grande,Hot Tea,tea-hot-iced,grande,{black-tea},{16.00000000000000000},3.25
104003,hot-tea-venti,Hot Tea,tea-hot-iced,venti,{black-tea},{24.00000000000000000},3.45
104004,brewed-tea-tall,Brewed Tea,tea-hot-iced,tall,{tea-leaves},{1.00000000000000000},2.95
104005,brewed-tea-grande,Brewed Tea,tea-hot-iced,grande,{tea-leaves},{1.00000000000000000},3.25
104006,brewed-tea-venti,Brewed Tea,tea-hot-iced,venti,{tea-leaves},{1.00000000000000000},3.45
104007,green-tea-tall,Green Tea,tea-hot-iced,tall,{green-tea},{12.00000000000000000},2.95
104008,green-tea-grande,Green Tea,tea-hot-iced,grande,{green-tea},{16.00000000000000000},3.25
104009,green-tea-venti,Green Tea,tea-hot-iced,venti,{green-tea},{24.00000000000000000},3.45
104010,HCM-tall,Ho Chi Minh Tea,tea-hot-iced,tall,{HCM-tea},{12.00000000000000000},2.95
104011,HCM-grande,Ho Chi Minh Tea,tea-hot-iced,grande,{HCM-tea},{16.00000000000000000},3.25
104012,HCM-venti,Ho Chi Minh Tea,tea-hot-iced,venti,{HCM-tea},{24.00000000000000000},3.45
